Game,UPC,Platform,Rating,Completion,Box,Manual,Amount,Value,Notes
Animal Crossing New Horizons,'045496596439,Nintendo Switch,CIB,N/A,Y,Y,1,52.50,
Assassin's Creed: Odyssey,'887256035990,PlayStation 4,CIB,Not Started,Y,Y,1,16.54,
Assassin's Creed: Origins,'887256028428,PlayStation 4,CIB,In Progress,Y,Y,1,12.73,
Batman - The Telltale Series,'883929603695,Nintendo Switch,CIB,Finished,Y,Y,1,21.79,
Bayonetta 2,'045496591861,Nintendo Switch,CIB,Finished,Y,Y,1,31.15,
Borderlands 3 (Super Deluxe Edition) [Steelbook],'710425574979,PlayStation 4,CIB,In Progress,Y,Y,1,27.19,
Deus Ex: Mankind Divided,'662248916361,PlayStation 4,CIB,Not Started,Y,Y,1,4.99,
Diablo III: Eternal Collection,'047875883437,Nintendo Switch,CIB,In Progress,Y,Y,1,34.00,
Digimon World: Next Order,'722674120746,PlayStation 4,CIB,Not Started,Y,Y,1,18.16,
Disgaea 5 Complete,'813633019215,Nintendo Switch,CIB,In Progress,Y,Y,1,31.99,
Divinity: Original Sin 2 (Definitive Edition),'722674122344,PlayStation 4,CIB,In Progress,Y,Y,1,16.99,
Dragon Age: Inquisition,'014633730913,PlayStation 4,CIB,In Progress,Y,Y,1,7.95,
Fallout 4,'093155170414,PlayStation 4,CIB,In Progress,Y,Y,1,7.15,
Final Fantasy Type-0 HD,'662248915234,PlayStation 4,CIB,Not Started,Y,Y,1,7.08,
Final Fantasy XIV Online: A Realm Reborn,'662248913537,PlayStation 4,Loose,N/A,Y,Y,1,5.84,
Final Fantasy XV,'662248915012,PlayStation 4,CIB,In Progress,Y,Y,1,8.75,
Fire Emblem Warriors,'045496591632,Nintendo Switch,CIB,In Progress,Y,Y,1,19.07,
Fire Emblem: Three Houses,'045496593858,Nintendo Switch,CIB,Finished,Y,Y,1,46.00,
God of War,'711719506133,PlayStation 4,CIB,In Progress,Y,Y,1,14.60,
Horizon: Zero Dawn,'711719503484,PlayStation 4,CIB,In Progress,Y,Y,1,9.77,
Kingdom Hearts HD 1.5 + 2.5 Remix,'662248919249,PlayStation 4,CIB,In Progress,Y,Y,1,16.76,
Lego City Undercover,'883929580224,Nintendo Switch,CIB,In Progress,Y,Y,1,18.07,
Lego Marvel Super Heroes 2,'883929597802,PlayStation 4,CIB,Finished,Y,Y,1,12.43,
LittleBigPlanet 3 (Day 1 Edition),'711719500254,PlayStation 4,CIB,Not Started,Y,Y,1,10.00,
Mario + Rabbids Kingdom Battle,'887256028305,Nintendo Switch,CIB,In Progress,Y,Y,1,17.99,
Marvel Spider-Man,'711719506126,PlayStation 4,CIB,Finished,Y,Y,1,16.00,
Metal Gear Solid V: The Phantom Pain,'083717202783,PlayStation 4,CIB,Not Started,Y,Y,1,13.43,
NBA 2K14,'710425473081,PlayStation 4,CIB,Not Started,Y,Y,1,5.19,
Need for Speed: Heat,'014633738452,PlayStation 4,CIB,In Progress,Y,Y,1,33.84,
Nier: Automata,'662248919607,PlayStation 4,CIB,In Progress,Y,Y,1,16.99,
One Piece: Pirate Warriors 3,'722674120111,PlayStation 4,CIB,Finished,Y,Y,1,17.99,
Overwatch,'047875877603,PlayStation 4,CIB,N/A,Y,Y,1,12.93,
Persona 5 [Steelbook],'730865020065,PlayStation 4,CIB,In Progress,Y,Y,1,26.67,
Pokemon Mystery Dungeon Rescue Team DX,'045496597054,Nintendo Switch,SIB,Not Started,Y,Y,1,49.97,
