Game,UPC,Platform,Rating,Completion,Box,Manual,Amount,Value,Notes
Dogz,''008888160915,Nintendo DS,CIB,Not started,Y,Y,1,9.49,
Catz,''008888163206,Nintendo DS,CIB,Not started,Y,Y,1,4.24,
Assassin's Creed III: Liberation,''008888317234,PlayStation Vita,Loose,Not started,N,N,1,11.96,
Ape Escape: Pumped & Primed,''008888322153,PlayStation 2,CIB,Played,Y,Y,1,19.97,
187: Ride or Die,''008888322177,PlayStation 2,CIB,Not started,Y,Y,1,8.15,
Watch Dogs,''008888358046,PlayStation 4,CIB,Finished,Y,Y,1,6.99,
Assassin's Creed: Revelations,''008888396840,PlayStation 3,CIB,Finished,Y,Y,1,4.25,
Assassin's Creed III,''008888397236,PlayStation 3,CIB,Finished,Y,Y,1,5.24,
Assassin's Creed III,''008888527374,XBOX 360,CIB,Finished,Y,Y,1,5.71,
Assassin's Creed: Revelations,''008888536840,XBOX 360,CIB,Finished,Y,Y,1,4.25,
Far Cry 3,''008888546313,XBOX 360,CIB,Played,Y,Y,1,6.22,
Sports Talk Football '93 Starring Joe Montana,''010086012163,Sega Genesis,CIB,Not started,Y,Y,1,5.77,
Jurassic Park,''010086025118,Sega Game Gear,Loose,Not started,N,N,1,7.74,Temporary case.
Sonic Adventure 2 Battle [Player's Choice],''010086610079,Nintendo GameCube,CIB,Finished,Y,Y,1,38.86,
Super Monkey Ball 2 [Player's Choice],''010086610123,Nintendo GameCube,CIB,Not started,Y,Y,1,31.92,
Super Monkey Ball 2 [Player's Choice],''010086610123,Nintendo GameCube,CIB,Not started,Y,Y,1,31.92,
Sonic Mega Collection [Player's Choice],''010086610239,Nintendo GameCube,CIB,Not started,Y,Y,1,12.99,
Sonic Adventure DX,''010086610260,Nintendo GameCube,CIB,Finished,Y,Y,1,27.99,
Sonic Gems Collection,''010086610444,Nintendo GameCube,CIB,Not started,Y,Y,1,36.10,
Hatsune Miku Project Dive F2nd,''010086620061,PlayStation Vita,CIB,Finished,Y,Y,1,25.85,
Dengeki Buno: Fighting Climax,''010086620092,PlayStation Vita,CIB,Played,Y,Y,1,23.31,
NBA 2K3,''010086630213,PlayStation 2,CIB,Not started,Y,Y,1,5.75,
Yakuza Kiwami,''010086632149,PlayStation 4,CIB,On hold,Y,Y,1,16.97,
Sonic Rivals,''010086660098,PlayStation Portable,CIB,Not started,Y,Y,1,11.57,
Sonic Rivals 2,''010086660227,PlayStation Portable,CIB,Not started,Y,Y,1,14.61,
Bleach: The Blade of Fate,''010086670103,Nintendo DS,CIB,Not started,Y,Y,1,12.17,
Mario and Sonic at the Olympic Games (PAL),''010086670127,Nintendo DS,CIB,Not started,Y,Y,1,10.64,
Bleach: The 3rd Phantim,''010086670264,Nintendo DS,CIB,Not started,Y,Y,1,29.87,
Devil May Cry,''013388260041,PlayStation 2,CIB,Not started,Y,Y,1,6.52,
Mega Man X7,''013388260201,PlayStation 2,CIB,Not started,Y,Y,1,10.36,
Bombastic,''013388260232,PlayStation 2,CIB,Not started,Y,Y,1,6.63,
Maximo vs. Army of Zin,''013388260256,PlayStation 2,CIB,Not started,Y,Y,1,22.00,
Devil May Cry 3,''013388260416,PlayStation 2,CIB,Not started,Y,Y,1,8.25,
Megaman Battle Network 5: Team Protoman,''013388280261,Nintendo GBA,Loose,On hold,N,N,1,17.99,
Monster Hunter 3 Ultimate,''013388305100,Nintendo 3DS,CIB,Not started,Y,Y,1,12.03,
Mega Man: Star Force Dragon,''013388320080,Nintendo DS,Loose,Not started,N,N,1,37.00,
Neopets: Puzzle Adventure,''013388320134,Nintendo DS,CIB,Not started,Y,Y,1,4.72,
College Football USA 96,''014633074918,Sega Genesis,CIB,Not started,Y,Y,1,7.96,
Madden NFL 96,''014633074932,Sega Genesis,CIB,Not started,Y,Y,1,4.87,
NHL 95,''014633074932,Sega Genesis,CIB,Not started,Y,Y,1,4.87,
Need for Speed: High Stakes,''014633079746,PlayStation,CIB,Not started,Y,Y,1,8.67,
Shox,''014633143744,PlayStation 2,CIB,Not started,Y,Y,1,11.96,
Medal of Honor: Frontline,''014633143812,PlayStation 2,CIB,Played,Y,Y,1,5.75,
The Simpsons: Road Rage [Greatest Hits],''014633143850,PlayStation 2,CIB,Played,Y,Y,1,11.97,
Def Jam: Vendetta,''014633144291,PlayStation 2,CIB,Played,Y,Y,1,32.95,
Need for Speed: Hot Pursuit 2,''014633144444,PlayStation 2,CIB,Played,Y,Y,1,11.79,
NBA Live 2003,''014633145373,PlayStation 2,CIB,Not started,Y,Y,1,5.72,
NBA Street Vol. 2,''014633146219,Nintendo GameCube,CIB,Not started,Y,Y,1,26.99,
The Sims,''014633146257,Nintendo GameCube,CIB,Not started,Y,Y,1,10.94,
Bionicle,''014633146806,PlayStation 2,CIB,Played,Y,Y,1,6.00,
Need for Speed: Underground,''014633147025,PlayStation 2,CIB,Played,Y,Y,1,10.95,
The Sims: Bustin' Out,''014633147254,Nintendo GameCube,CIB,Not started,Y,Y,1,10.00,
Def Jam: Fight for NY,''014633147544,PlayStation 2,Loose,Played,N,N,1,99.99,
Need for Speed: Most Wanted,''014633148213,PlayStation 2,CIB,Played,Y,Y,1,14.30,
Burnout 3: Takedown,''014633148336,PlayStation 2,CIB,Played,Y,Y,1,13.33,
Need for Speed: Underground 2,''014633148435,PlayStation 2,CIB,Played,Y,Y,1,15.93,
The Urbz: Sims in the City [Special Edition],''014633148558,Nintendo GameCube,CIB,Not started,Y,Y,1,18.77,
007 Goldeneye Rogue Agent,''014633148688,PlayStation 2,CIB,Not started,Y,Y,1,7.44,
Need for Speed: Most Wanted,''014633149418,Nintendo GBA,Loose,Played,N,N,1,5.49,
The Godfather: The Game,''014633149746,PlayStation 2,CIB,Not started,Y,Y,1,12.50,
Burnout Revenge,''014633151039,PlayStation 2,CIB,Played,Y,Y,1,9.34,
Burnout Revenge,''014633151039,PlayStation 2,CIB,Played,Y,Y,1,9.34,
Black,''014633151053,PlayStation 2,CIB,Not started,Y,Y,1,11.86,
Burnout Legends,''014633151220,PlayStation Portable,CIB,Not started,Y,Y,1,9.82,
The Sims 2,''014633151282,Nintendo GameCube,CIB,Not started,Y,Y,1,18.71,
2006 FIFA World Cup,''014633151657,PlayStation 2,CIB,Not started,Y,Y,1,5.74,
The Sims 2: Pets,''014633152449,Nintendo GameCube,CIB,Not started,Y,Y,1,9.63,
SPORE: Creatures,''014633153309,Nintendo DS,Loose,Not started,N,N,1,3.00,
MySims Kingdom,''014633155501,Nintendo Wii,CIB,Finished,Y,Y,1,8.63,
Burnout Dominator,''014633156324,PlayStation 2,Loose,Played,N,N,1,4.85,
The Sims 2: Castaway,''014633157352,PlayStation 2,CIB,Played,Y,Y,1,21.66,
Dragon Age: Origins,''014633159806,XBOX 360,CIB,Not started,Y,Y,1,6.26,
Rock Band Track Pack Volume 2,''014633190663,Nintendo Wii,CIB,Played,Y,Y,1,7.41,
MySims: Party,''014633190977,Nintendo DS,CIB,Not started,Y,Y,1,6.49,
Rock Band 2,''014633191134,Nintendo Wii,CIB,Played,Y,Y,1,10.02,
Rock Band 3,''014633195200,Nintendo Wii,CIB,Played,Y,Y,1,32.99,
Mass Effect 3,''014633195842,PlayStation 3,CIB,Not started,Y,Y,1,7.36,
Mass Effect Trilogy [Steelbook],''014633198065,PlayStation 3,CIB,Played,Y,Y,1,35.88,
MySims,''014633358131,Nintendo Wii,CIB,Finished,Y,Y,1,12.75,
MySims Agents,''014633362701,Nintendo Wii,CIB,Finished,Y,Y,1,7.12,
Portal 2,''014633365252,XBOX 360,CIB,Finished,Y,Y,1,9.96,
Battlefield 3 [Limited Edition],''014633365931,XBOX 360,CIB,Finished,Y,Y,1,3.74,
Star Wars Battlefront 2 (Elite Trooper Deluxe Edition),''014633372311,PlayStation 4,CIB,Finished,Y,Y,1,19.02,
Star Wars Jedi: Fallen Order (Deluxe Edition),''014633376159,PlayStation 4,CIB,Finished,Y,Y,1,45.00,
Dragon Age: Inquisition,''014633730913,PlayStation 4,CIB,Played,Y,Y,1,9.41,
Need for Speed: Heat,''014633738452,PlayStation 4,CIB,On hold,Y,Y,1,37.50,
Dead or Alive 2: Hardcore,''018946010175,PlayStation 2,CIB,Not started,Y,Y,1,10.75,
Tokobot Plus: Mysteries of the Karakuri,''018946010472,PlayStation 2,SIB,Not started,Y,Y,1,17.98,
Half-Life,''020626712354,PlayStation 2,CIB,Not started,Y,Y,1,42.46,
The Simpsons: Hit & Run [Greatest Hits],''020626721110,PlayStation 2,CIB,Played,Y,Y,1,40.96,
Fight Club,''020626721646,PlayStation 2,CIB,Played,Y,Y,1,6.87,
